Node,Node.label,Class,Order,Family,Genus,Trait,Interval.my,Log10Years,d,sd,Taxa,Comparisons,Within.order,Within.family,Within.genus,Tree.source,Trait.source,Comments
83,370,Aves,Charadriiformes,Alcidae,Cepphus,Log(mass)/3,12.506,7.097118424,-0.099582334,0.018495937,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
91,378,Aves,Charadriiformes,Alcidae,Fratercula,Log(mass)/3,3.41,6.532754379,0.064992667,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
90,377,Aves,Charadriiformes,Alcidae,Fratercula,Log(mass)/3,11.368,7.055684065,0.032496333,0.127424162,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
86,373,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,19.326,7.286141975,-0.070167002,0.216868233,4,3,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
80,367,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,26.263,7.419344334,0.004771969,0.140411224,3,2,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
82,369,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,27.058,7.432295692,-0.032261998,0.262285795,5,6,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
79,366,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,33.85433233,7.529614253,-0.150953472,0.623094684,4,3,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
89,376,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,38.084,7.580742556,-0.030874264,0.128862325,4,3,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
78,365,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,41.59024975,7.618991528,0.048796578,0.322583328,9,20,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
74,361,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,49.332111,7.6931297,0.051422974,0.362137431,13,36,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
73,360,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,57.06453838,7.756366308,0.063194592,0.380521404,17,52,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
72,359,Aves,Charadriiformes,Alcidae,Multiple,Log(mass)/3,64.79582347,7.811547014,-0.007880282,0.357843064,21,68,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
77,364,Aves,Charadriiformes,Alcidae,Synthliboramphus,Log(mass)/3,7.958,6.900803935,0.032076011,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
76,363,Aves,Charadriiformes,Alcidae,Synthliboramphus,Log(mass)/3,14.496,7.16124818,0.033571325,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
75,362,Aves,Charadriiformes,Alcidae,Synthliboramphus,Log(mass)/3,28.99,7.462248215,-0.02837887,0.10170837,4,4,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
81,368,Aves,Charadriiformes,Alcidae,Uria,Log(mass)/3,21.6,7.334453751,0.009543938,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
215,502,Aves,Charadriiformes,Burhinidae,Burhinus,Log(mass)/3,7.934,6.899492196,0.114050943,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
214,501,Aves,Charadriiformes,Burhinidae,Burhinus,Log(mass)/3,12.574,7.099473456,-0.172229403,0.080646195,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
213,500,Aves,Charadriiformes,Burhinidae,Burhinus,Log(mass)/3,15.866,7.20046745,-0.136326962,0.183049606,4,3,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
212,499,Aves,Charadriiformes,Burhinidae,Burhinus,Log(mass)/3,23.8,7.376576957,-0.102245222,0.099295705,5,4,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
211,498,Aves,Charadriiformes,Burhinidae,Burhinus,Log(mass)/3,39.599999,7.597695175,-0.10039959,0.171875876,6,5,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
177,464,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,11.096,7.045166448,0.186970431,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
181,468,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,11.096,7.045166448,-0.185315353,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
182,469,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,14.448,7.159807733,0.041382266,0.058701476,3,3,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
180,467,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,17.586,7.245167069,-0.092657677,0.208018042,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
179,466,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,22.192,7.346196444,-0.006889279,0.12568756,4,3,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
178,465,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,25.764,7.41101329,0.068158511,0.102681257,5,4,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
176,463,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,31.15,7.493458051,0.107857307,0.178697292,7,10,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
174,461,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,32.633998,7.513670283,0.129117786,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
175,462,Aves,Charadriiformes,Charadriidae,Charadrius,Log(mass)/3,38.566001,7.586204608,0.105884102,0.150401496,8,7,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
184,471,Aves,Charadriiformes,Charadriidae,Multiple,Log(mass)/3,9.116,6.959804317,0.104657589,NA,2,1,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
183,470,Aves,Charadriiformes,Charadriidae,Multiple,Log(mass)/3,14.448,7.159807733,0.095338881,0.074004091,3,2,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
173,460,Aves,Charadriiformes,Charadriidae,Multiple,Log(mass)/3,45.98400089,7.662606755,0.058153463,0.23210765,29,371,1,1,0.5,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
185,472,Aves,Charadriiformes,Charadriidae,Multiple,Log(mass)/3,46.51200065,7.667565021,-0.428492549,0.126240434,24,23,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
172,459,Aves,Charadriiformes,Charadriidae,Multiple,Log(mass)/3,53.40000142,7.727541269,0.068557646,0.176372747,31,59,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
171,458,Aves,Charadriiformes,Charadriidae,Multiple,Log(mass)/3,59.40000016,7.773786446,-0.041028116,0.45795417,55,744,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
170,457,Aves,Charadriiformes,Charadriidae,Multiple,Log(mass)/3,61.46600013,7.788634953,0.067019324,0.278896927,56,55,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
166,453,Aves,Charadriiformes,Charadriidae,Multiple,Log(mass)/3,63.53400113,7.803006206,0.117754538,0.335828409,60,224,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
169,456,Aves,Charadriiformes,Charadriidae,Pluvialis,Log(mass)/3,10.512,7.021685352,0.038436949,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
168,455,Aves,Charadriiformes,Charadriidae,Pluvialis,Log(mass)/3,16.66,7.221674997,0.019218474,0.189997618,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
167,454,Aves,Charadriiformes,Charadriidae,Pluvialis,Log(mass)/3,21.022,7.322674032,0.030088417,0.187126447,4,3,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
187,474,Aves,Charadriiformes,Charadriidae,Vanellus,Log(mass)/3,10.016,7.000694316,-0.205504652,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
188,475,Aves,Charadriiformes,Charadriidae,Vanellus,Log(mass)/3,10.016,7.000694316,0.203255191,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
190,477,Aves,Charadriiformes,Charadriidae,Vanellus,Log(mass)/3,10.016,7.000694316,0.141328052,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
191,478,Aves,Charadriiformes,Charadriidae,Vanellus,Log(mass)/3,10.016,7.000694316,-0.062195319,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
192,479,Aves,Charadriiformes,Charadriidae,Vanellus,Log(mass)/3,10.016,7.000694316,0.274208752,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
193,480,Aves,Charadriiformes,Charadriidae,Vanellus,Log(mass)/3,10.016,7.000694316,0.195109384,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
189,476,Aves,Charadriiformes,Charadriidae,Vanellus,Log(mass)/3,23.256,7.366535019,0.144939703,0.089147585,4,4,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
186,473,Aves,Charadriiformes,Charadriidae,Vanellus,Log(mass)/3,45.92199931,7.662020788,-0.013997401,0.178235339,23,243,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
163,450,Aves,Charadriiformes,Glareolidae,Cursorius,Log(mass)/3,9.9,6.995635195,0.203255191,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
162,449,Aves,Charadriiformes,Glareolidae,Cursorius,Log(mass)/3,19.8,7.29666519,-0.128456679,0.143723124,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
158,445,Aves,Charadriiformes,Glareolidae,Glareola,Log(mass)/3,27.792,7.443919801,0.130418789,0.134620334,7,21,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
157,444,Aves,Charadriiformes,Glareolidae,Multiple,Log(mass)/3,29.7,7.472756449,0.00167394,0.130898266,8,7,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
159,446,Aves,Charadriiformes,Glareolidae,Multiple,Log(mass)/3,29.7,7.472756449,0.072721308,0.134666079,6,9,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
156,443,Aves,Charadriiformes,Glareolidae,Multiple,Log(mass)/3,39.6,7.597695186,-0.138850649,0.150685751,14,48,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
161,448,Aves,Charadriiformes,Glareolidae,Rhinoptilus,Log(mass)/3,9.9,6.995635195,0.118891648,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
160,447,Aves,Charadriiformes,Glareolidae,Rhinoptilus,Log(mass)/3,19.8,7.29666519,-0.120219676,0.084069091,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
206,493,Aves,Charadriiformes,Haematopodidae,Haematopus,Log(mass)/3,8.566,6.93277807,-0.081155975,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
208,495,Aves,Charadriiformes,Haematopodidae,Haematopus,Log(mass)/3,8.566,6.93277807,-0.08860776,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
207,494,Aves,Charadriiformes,Haematopodidae,Haematopus,Log(mass)/3,13.578,7.132835804,-0.056226288,0.062655148,3,2,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
205,492,Aves,Charadriiformes,Haematopodidae,Haematopus,Log(mass)/3,22.144,7.345256073,-0.016426492,0.063585208,6,11,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
204,491,Aves,Charadriiformes,Haematopodidae,Haematopus,Log(mass)/3,24.048,7.381078963,-0.020314645,0.042509614,7,6,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
203,490,Aves,Charadriiformes,Haematopodidae,Haematopus,Log(mass)/3,25.698,7.409899325,0.055681832,0.097204463,8,7,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
202,489,Aves,Charadriiformes,Haematopodidae,Haematopus,Log(mass)/3,29.634,7.471790277,-0.008656493,0.049774174,10,17,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
65,352,Aves,Charadriiformes,Jacanidae,Actophilornis,Log(mass)/3,17.094,7.2328437,-0.061052909,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
61,348,Aves,Charadriiformes,Jacanidae,Jacana,Log(mass)/3,21.6,7.334453751,-0.041946939,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
64,351,Aves,Charadriiformes,Jacanidae,Multiple,Log(mass)/3,17.094,7.2328437,-0.303162662,NA,2,1,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
63,350,Aves,Charadriiformes,Jacanidae,Multiple,Log(mass)/3,27.092,7.432841067,0.289272875,0.214368374,3,2,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
60,347,Aves,Charadriiformes,Jacanidae,Multiple,Log(mass)/3,34.236,7.534483018,-0.158430011,0.029660965,3,2,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
62,349,Aves,Charadriiformes,Jacanidae,Multiple,Log(mass)/3,39.69,7.598681099,-0.138994117,0.36260913,5,6,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
59,346,Aves,Charadriiformes,Jacanidae,Multiple,Log(mass)/3,64.8,7.811575006,-0.076294263,0.216266416,8,15,1,1,0,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
4,14,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,0.16384181,5.214424738,-0.088681858,NA,2,1,1,1,1,"Given, A. D., J. A. Mills, and A. J. Baker. 2005. Molecular evidence for recent radiation in southern hemisphere masked gulls. Auk 122: 268-279.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
5,15,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,0.497175149,5.696509412,0.054570426,NA,2,1,1,1,1,"Given, A. D., J. A. Mills, and A. J. Baker. 2005. Molecular evidence for recent radiation in southern hemisphere masked gulls. Auk 122: 268-279.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
3,13,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,0.785310746,5.895041541,0.053600784,0.062707543,3,2,1,1,1,"Given, A. D., J. A. Mills, and A. J. Baker. 2005. Molecular evidence for recent radiation in southern hemisphere masked gulls. Auk 122: 268-279.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
2,12,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,1.073446344,6.030780341,-0.034269619,0.140446157,6,11,1,1,1,"Given, A. D., J. A. Mills, and A. J. Baker. 2005. Molecular evidence for recent radiation in southern hemisphere masked gulls. Auk 122: 268-279.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
1,11,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,1.10734465,6.044282812,-0.026313861,0.087690826,7,6,1,1,1,"Given, A. D., J. A. Mills, and A. J. Baker. 2005. Molecular evidence for recent radiation in southern hemisphere masked gulls. Auk 122: 268-279.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
147,434,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,2.34,6.369215857,0.059008623,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
148,435,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,2.34,6.369215857,-0.135737787,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
151,438,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,2.34,6.369215857,0.054570426,NA,2,1,1,1,1,"Thomas et al., 2004.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
6,16,Aves,Charadriiformes,Laridae,Larus,Log(mass)/3,3.355932255,6.525813185,-0.095498845,NA,2,1,1,1,1,"Given, A. D., J. A. Mills, and A. J. Baker. 2005. Molecular evidence for recent radiation in southern hemisphere masked gulls. Auk 122: 268-279.","Dunning, 2008.",Trees obtained from the spreadsheet provided with McPeek 2008. Most are calibrated with a molecular clock. Masses of subspecies are averaged.
